flow_duration,protocol,TotPackets,TotBytes,tot_fwd_pkts,totlen_fwd_pkts,fwd_iat_mean,fwd_pkt_len_max,fwd_pkt_len_mean,tot_bwd_pkts,totlen_bwd_pkts,bwd_iat_mean,bwd_pkt_len_max,bwd_pkt_len_mean
7.466,6,67,20182,34,541,226,1152,15435,33,489,224,1179,4747
52.176,6,6561,6275629,4220,1407,12,1448,6149149,2341,776,22,1448,126480
0.053,6,10,1495,5,507,13,507,727,5,556,13,556,768
0.007,6,2,80,1,0,0,0,40,1,0,0,0,40
0.012,1,2,112,2,28,12,28,112,0,0,0,0,0
1752.655,6,95,7203,63,38,28268,205,4476,32,33,56525,98,2727
467.806,6,55,8547,31,304,15593,304,6168,24,83,20310,83,2379
1757.293,6,206,26918,111,304,15975,304,18352,95,83,18694,83,8566
75.016,6,28,7824,9,174,122,267,1413,19,376,4165,3417,6411
1778.376,1,156,8736,156,28,11473,28,8736,0,0,0,0,0
1.833,6,115,86973,50,131,37,232,2529,65,1364,25,1430,84444
1.266,6,10,1687,7,100,211,100,384,3,1179,507,1179,1303
2.366,17,4,240,2,32,2365,32,120,2,32,2365,32,120
1.483,17,15,6097,7,447,247,1350,3331,8,317,191,1350,2766
1770.31,6,101,9344,66,65,27235,65,5577,35,59,52065,59,3767
1783.334,6,106,8456,68,65,26616,65,4930,38,59,48195,59,3526
1771.104,1,58,4872,58,56,31072,56,4872,0,0,0,0,0
17.913,6,1397,1253275,823,1438,21,1448,1216307,574,776,30,1448,36968
1748.155,6,95,7203,63,38,28196,205,4476,32,33,56384,98,2727
1740.546,17,30,31680,30,1028,60018,1028,31680,0,0,0,0,0
3.129,6,38,10271,17,455,195,1440,4394,21,357,147,1440,5877
280.038,6,27,7312,12,158,25458,267,1277,15,678,20000,2045,6035
179.786,6,22,9261,11,514,93,1236,2014,11,970,17961,1360,7247
0.241,17,4,624,2,64,239,64,184,2,192,128,192,440
280.361,6,26,7272,12,158,25487,267,1277,14,678,21561,2045,5995
0.083,17,2,390,1,46,0,46,74,1,288,0,288,316
0.6,6,10,1110,6,177,120,177,674,4,110,143,110,436
93.071,17,10,880,5,48,23265,48,380,5,72,23265,72,500
1785.146,17,87,3648,86,14,21001,14,3612,1,8,0,8,36
923.025,6,82,9258,50,82,18837,722,4526,32,127,29769,2026,4732
240.209,6,56,20523,30,844,8282,1418,17617,26,193,9607,580,2906
1785.852,6,368,25552,213,99,8423,469,15005,155,69,11596,69,10547
11.59,6,98,32859,50,611,236,1152,26457,48,447,241,1179,6402
151.611,6,25,11382,12,433,72,990,1847,13,1000,12623,1360,9535
238.611,6,44,13456,27,389,9177,1360,6184,17,658,14899,3494,7272
0.647,6,10,1840,5,901,161,901,1169,5,403,161,403,671
1.084,6,29,8200,15,222,66,540,1964,14,809,69,1460,6236
1786.521,6,102,8364,68,66,26664,66,4964,34,60,54134,60,3400
276.797,1,4,224,4,28,92265,28,224,0,0,0,0,0
1680.6,17,12,498,11,14,168060,14,462,1,8,0,8,36
24.58,6,13,5586,4,106,8193,106,274,9,822,3044,1420,5312
51.905,6,48,10415,23,533,704,910,3147,25,329,2157,2720,7268
11.031,6,19,1645,8,555,1575,555,995,11,19,1082,19,650
