flow_duration,protocol,TotPackets,TotBytes,tot_fwd_pkts,totlen_fwd_pkts,fwd_iat_mean,fwd_pkt_len_max,fwd_pkt_len_mean,tot_bwd_pkts,totlen_bwd_pkts,bwd_iat_mean,bwd_pkt_len_max,bwd_pkt_len_mean
7.894,6,68,21123,34,575,239,1152,16336,34,427,231,1152,4787
21.261,6,3176,3103713,2061,1429,10,1448,3041057,1115,776,18,1448,62656
0.014,6,16,6004,8,88,2,88,452,8,1305,2,1880,5552
0.113,17,2,672,2,308,113,308,672,0,0,0,0,0
1639.781,6,154,13543,100,71,16563,138,7726,54,69,27940,69,5817
0.335,17,2,304,1,60,0,60,88,1,188,0,188,216
1756.847,6,126,8086,68,27,26220,27,4082,58,47,30821,427,4004
19.278,17,25,11400,14,617,1480,1350,9037,11,186,1924,1350,2363
124.562,6,40,8877,15,123,8896,267,1593,25,313,5189,1452,7284
0.301,17,2,198,1,39,0,39,67,1,103,0,103,131
0.751,6,119,87628,52,131,14,232,2609,67,1349,11,1430,85019
253.026,6,95,34458,43,686,2240,1152,26432,52,424,4956,1179,8026
3.91,17,4,240,4,32,1303,32,240,0,0,0,0,0
5.841,1,7,3609,7,487,973,548,3609,0,0,0,0,0
1.417,6,24,8004,12,164,108,267,1288,12,1014,110,2491,6716
4.066,17,5,335,5,39,1016,39,335,0,0,0,0,0
0.026,17,4,344,2,47,17,47,150,2,69,16,75,194
11.824,6,627,490135,329,1418,36,1448,468113,298,899,15,1448,22022
16.832,6,21,4515,9,341,2104,722,1488,12,299,1490,1408,3027
0.091,17,2,180,1,30,0,30,58,1,94,0,94,122
1.129,6,5,260,5,0,0,0,260,0,0,0,0,0
280.427,6,30,7432,13,158,23368,267,1317,17,603,17523,2076,6115
0.011,17,2,339,1,49,0,49,77,1,234,0,234,262
0.023,17,2,558,1,32,0,32,60,1,470,0,470,498
280.03,6,29,7392,13,158,23335,267,1317,16,678,18666,3456,6075
193.048,6,11,854,4,112,64349,112,280,7,90,32155,90,574
9.245,6,37,11305,19,784,513,1408,4168,18,476,504,4044,7137
1788.957,17,142,11360,71,48,25556,48,5396,71,56,25556,56,5964
1781.486,17,83,3480,82,14,21993,14,3444,1,8,0,8,36
12.437,6,14,3283,5,83,2987,92,435,9,394,1486,1448,2848
3.857,6,133,181419,53,279,74,859,4513,80,2303,48,7040,176906
127.217,6,14,5625,4,106,42400,106,274,10,823,14134,1460,5351
0.51,17,2,167,1,39,0,39,67,1,72,0,72,100
300.88,6,42,13568,23,881,13676,1460,8006,19,399,481,1460,5562
98.78,6,11,719,11,31,9878,31,719,0,0,0,0,0
1794.085,17,83,3480,82,14,22149,14,3444,1,8,0,8,36
0.401,6,27,8977,14,239,30,597,1694,13,942,31,1438,7283
0.021,17,2,503,1,40,0,40,68,1,407,0,407,435
280.227,6,29,7392,13,158,23352,267,1317,16,603,18680,2036,6075
1.741,6,20,3833,11,234,174,564,1504,9,463,193,1343,2329
64.267,6,15,7169,6,98,12853,106,445,9,908,44,1420,6724
61.043,6,49,9020,23,345,705,720,2071,26,327,2436,1460,6949
28.32,6,8,460,3,0,14160,0,160,5,0,2000,0,300
1797.416,17,449,39928,404,35,4460,288,25708,45,288,40024,288,14220
0.49,6,328,324244,214,183,2,230,12033,114,2734,3,8448,312211
1757.415,6,97,7307,63,38,28345,205,4476,34,33,53245,98,2831
23.549,6,31,8047,14,188,1811,721,1883,17,685,1460,1440,6164
1704.182,6,24,3624,16,241,113612,241,2568,8,92,243426,92,1056
22.514,6,60,23728,31,1164,401,1360,17642,29,307,797,1360,6086
0.15,17,2,489,1,34,0,34,62,1,399,0,399,427
0.162,6,46,21318,26,1088,6,1420,16297,20,467,8,1883,5021
2.09,6,32,12101,19,517,116,1360,3404,13,907,159,2720,8697
0.067,17,2,138,1,33,0,33,61,1,49,0,49,77
16.644,17,24,14931,11,606,1657,1350,6982,13,583,1380,1350,7949
602.051,2,6,192,6,8,120410,8,192,0,0,0,0,0
6.372,6,47,8489,25,227,265,314,4182,22,489,290,1179,4307
0.084,17,2,245,1,32,0,32,60,1,157,0,157,185
72.203,6,15,3201,6,92,14440,92,400,9,1164,8974,1408,2801
1798.624,6,374,26413,213,98,8484,469,15143,161,69,11241,69,11270
839.435,6,149,11319,50,50,17131,148,3449,99,50,8564,368,7870
0.14,6,2,112,1,0,0,0,60,1,0,0,0,52
75.372,6,18,740,8,0,7128,0,324,10,0,8373,0,416
1786.702,1,58,4872,0,0,0,0,0,58,56,31345,56,4872
